NomeCompleto;NomeUsuario;Email;Senha;Administrador;CPF;Telefone;RazaoSocial;CNPJ;Endereco;Cidade;Estado;CEP;Pais;NumeroCartao;ValidadeCartao;NomeProduto;Preco;DescricaoProduto;Quantidade;NomeCategoria;DescricaoCategoria;TituloArtigo;ConteudoArtigo;NomeAutor;DataPublicacao
"=""Kennith Dach""";"=""kennith.dach""";"=""dach.kennith@gmail.com""";"=""DacKe39""";"=""true""";"=""20414020839""";"=""18579986489""";"=""Kennith Dach LTDA""";"=""08089165000193""";"=""5544 Winnifred Forges""";"=""Leuschkeside""";"=""New Jersey""";"=""85674228""";"=""Saint Vincent and the Grenadines""";"=""5430965172782495""";"=""08/27""";"=""Fone de Ouvido Ultra-fino""";"=""2977.07""";"=""Um excelente fone de ouvido ultra-fino da categoria Eletronicos, ideal para suas necessidades.""";"=""31""";"=""Eletronicos""";"=""Descricao para a categoria Eletronicos""";"=""Voluptates porro accusantium architecto architecto voluptatem.""";"=""Conteudo do artigo nao disponivel.""";"=""Winifred Nienow""";"=""2025-07-27T22:41:15.813Z"""
"=""Halie Ryan""";"=""halie.ryan""";"=""ryan.halie@gmail.com""";"=""RyaHa71""";"=""true""";"=""90876073771""";"=""19302865493""";"=""Halie Ryan LTDA""";"=""50795155000130""";"=""9663 Kari Harbor""";"=""North Norbertland""";"=""Delaware""";"=""41757911""";"=""Greenland""";"=""4556627682563259""";"=""04/28""";"=""Mouse Gamer Profissional""";"=""2002.90""";"=""Um excelente mouse gamer profissional da categoria Eletronicos, ideal para suas necessidades.""";"=""81""";"=""Eletronicos""";"=""Descricao para a categoria Eletronicos""";"=""Atque atque eum quos molestiae eius aliquam inventore.""";"=""Conteudo do artigo nao disponivel.""";"=""Elbert Miller""";"=""2025-07-27T22:41:16.761Z"""
"=""Ryleigh Wyman""";"=""ryleigh.wyman""";"=""wyman.ryleigh@gmail.com""";"=""WymRy23""";"=""true""";"=""68721630623""";"=""14587723986""";"=""Ryleigh Wyman LTDA""";"=""90288674000126""";"=""66822 Tromp Knolls""";"=""Mayertstad""";"=""Washington""";"=""64965549""";"=""South Georgia and the South Sandwich Islands""";"=""4532468617075237""";"=""10/26""";"=""Smartphone Moderno""";"=""4096.73""";"=""Um excelente smartphone moderno da categoria Informatica, ideal para suas necessidades.""";"=""22""";"=""Informatica""";"=""Descricao para a categoria Informatica""";"=""Tempore laborum ullam laborum blanditiis eius laboriosam quaerat.""";"=""Conteudo do artigo nao disponivel.""";"=""Darian Cole""";"=""2025-07-27T22:41:17.698Z"""
"=""Mercedes Powlowski""";"=""mercedes.powlowski""";"=""powlowski.mercedes@gmail.com""";"=""PowMe31""";"=""true""";"=""02893406831""";"=""15677564603""";"=""Mercedes Powlowski LTDA""";"=""54042111000190""";"=""21831 Noelia Brooks""";"=""North Howell""";"=""Massachusetts""";"=""07162414""";"=""Burkina Faso""";"=""2720871190822709""";"=""12/27""";"=""Smartphone RGB""";"=""1481.26""";"=""Um excelente smartphone rgb da categoria Informatica, ideal para suas necessidades.""";"=""47""";"=""Informatica""";"=""Descricao para a categoria Informatica""";"=""Possimus ullam quis qui nemo rerum voluptate maiores.""";"=""Conteudo do artigo nao disponivel.""";"=""Zena Stoltenberg""";"=""2025-07-27T22:41:18.660Z"""
"=""Chadrick Parisian""";"=""chadrick.parisian""";"=""parisian.chadrick@gmail.com""";"=""ParCh48""";"=""true""";"=""35236629748""";"=""13809758360""";"=""Chadrick Parisian LTDA""";"=""10869496000198""";"=""693 Precious Fields""";"=""Yostland""";"=""West Virginia""";"=""73585140""";"=""Gambia""";"=""4556733105122416""";"=""12/25""";"=""Mouse Gamer Moderno""";"=""2772.47""";"=""Um excelente mouse gamer moderno da categoria Games, ideal para suas necessidades.""";"=""80""";"=""Games""";"=""Descricao para a categoria Games""";"=""Et repellendus cum non in nostrum dolorum.""";"=""Conteudo do artigo nao disponivel.""";"=""Bret Kuhlman""";"=""2025-07-27T22:41:19.623Z"""
"=""Myrtice Smitham""";"=""myrtice.smitham""";"=""smitham.myrtice@gmail.com""";"=""SmiMy90""";"=""true""";"=""66270703590""";"=""16409247879""";"=""Myrtice Smitham LTDA""";"=""50431268000156""";"=""3830 Feest Courts Apt. 542""";"=""West Josephine""";"=""Missouri""";"=""97511253""";"=""Eritrea""";"=""4556015905028021""";"=""12/26""";"=""Fone de Ouvido Ergonomica""";"=""736.73""";"=""Um excelente fone de ouvido ergonomica da categoria Fotografia, ideal para suas necessidades.""";"=""22""";"=""Fotografia""";"=""Descricao para a categoria Fotografia""";"=""Aperiam nobis minus et voluptatem.""";"=""Conteudo do artigo nao disponivel.""";"=""Tianna Brakus""";"=""2025-07-27T22:41:20.581Z"""
"=""Stefanie Krajcik""";"=""stefanie.krajcik""";"=""krajcik.stefanie@gmail.com""";"=""KraSt10""";"=""true""";"=""55244158910""";"=""14752865556""";"=""Stefanie Krajcik LTDA""";"=""69157063000152""";"=""62488 Aurelio Center""";"=""Port Stephany""";"=""North Carolina""";"=""15817181""";"=""Saint Pierre and Miquelon""";"=""6011162678782287""";"=""07/27""";"=""Tablet Potente""";"=""3310.98""";"=""Um excelente tablet potente da categoria Fotografia, ideal para suas necessidades.""";"=""64""";"=""Fotografia""";"=""Descricao para a categoria Fotografia""";"=""Libero quaerat asperiores officiis odio sed.""";"=""Conteudo do artigo nao disponivel.""";"=""Emily Franecki""";"=""2025-07-27T22:41:21.508Z"""
"=""Javon Reichel""";"=""javon.reichel""";"=""reichel.javon@gmail.com""";"=""ReiJa00""";"=""true""";"=""69776547400""";"=""16829369332""";"=""Javon Reichel LTDA""";"=""12743161000154""";"=""7127 Morton Heights""";"=""Sheldonton""";"=""North Dakota""";"=""18130564""";"=""British Indian Ocean Territory (Chagos Archipelago)""";"=""3589907137572284""";"=""03/26""";"=""Mouse Gamer Ultra-fino""";"=""698.16""";"=""Um excelente mouse gamer ultra-fino da categoria Games, ideal para suas necessidades.""";"=""66""";"=""Games""";"=""Descricao para a categoria Games""";"=""Autem ipsam aut quibusdam enim.""";"=""Conteudo do artigo nao disponivel.""";"=""Alexandre Haag""";"=""2025-07-27T22:41:22.485Z"""
"=""Belle Farrell""";"=""belle.farrell""";"=""farrell.belle@gmail.com""";"=""FarBe04""";"=""true""";"=""08409501104""";"=""17479025617""";"=""Belle Farrell LTDA""";"=""87128330000145""";"=""9317 Reinhold Oval""";"=""Robertsmouth""";"=""Oregon""";"=""22916294""";"=""Saint Vincent and the Grenadines""";"=""5119730114090201""";"=""05/27""";"=""Notebook Moderno""";"=""1721.93""";"=""Um excelente notebook moderno da categoria Fotografia, ideal para suas necessidades.""";"=""98""";"=""Fotografia""";"=""Descricao para a categoria Fotografia""";"=""Temporibus cum possimus tempore similique laboriosam possimus dolores.""";"=""Conteudo do artigo nao disponivel.""";"=""Jamarcus Lebsack""";"=""2025-07-27T22:41:23.469Z"""
"=""Victor Farrell""";"=""victor.farrell""";"=""farrell.victor@gmail.com""";"=""FarVi43""";"=""true""";"=""38472634043""";"=""18316919469""";"=""Victor Farrell LTDA""";"=""13638196000196""";"=""996 Heidi Forks""";"=""Dibbertfurt""";"=""California""";"=""92898923""";"=""Faroe Islands""";"=""4485271316172264""";"=""01/26""";"=""Notebook Ergonomica""";"=""201.90""";"=""Um excelente notebook ergonomica da categoria Informatica, ideal para suas necessidades.""";"=""94""";"=""Informatica""";"=""Descricao para a categoria Informatica""";"=""Magnam ullam id exercitationem at.""";"=""Conteudo do artigo nao disponivel.""";"=""Emilie Jaskolski""";"=""2025-07-27T22:41:24.418Z"""
"=""Camryn Murphy""";"=""camryn.murphy""";"=""murphy.camryn@gmail.com""";"=""MurCa40""";"=""true""";"=""34524071440""";"=""12606572187""";"=""Camryn Murphy LTDA""";"=""17642119000160""";"=""7895 Katlynn Road""";"=""Port Rhea""";"=""Hawaii""";"=""23170757""";"=""Fiji""";"=""6011218549856112""";"=""02/27""";"=""Notebook Sem Fio""";"=""3794.62""";"=""Um excelente notebook sem fio da categoria Informatica, ideal para suas necessidades.""";"=""91""";"=""Informatica""";"=""Descricao para a categoria Informatica""";"=""Quia occaecati nisi earum modi iusto numquam.""";"=""Conteudo do artigo nao disponivel.""";"=""Karson Homenick""";"=""2025-07-27T22:41:25.352Z"""
"=""Emmett Leannon""";"=""emmett.leannon""";"=""leannon.emmett@gmail.com""";"=""LeaEm20""";"=""true""";"=""71331311020""";"=""17816639232""";"=""Emmett Leannon LTDA""";"=""84633695000139""";"=""9262 Dulce Square""";"=""Chasemouth""";"=""Hawaii""";"=""79613917""";"=""Macedonia""";"=""4539650371930060""";"=""05/28""";"=""Mouse Gamer Ergonomica""";"=""3422.82""";"=""Um excelente mouse gamer ergonomica da categoria Fotografia, ideal para suas necessidades.""";"=""93""";"=""Fotografia""";"=""Descricao para a categoria Fotografia""";"=""Voluptas fuga quis voluptatem ipsa cum dolorum quis.""";"=""Conteudo do artigo nao disponivel.""";"=""Aleen Brakus""";"=""2025-07-27T22:41:26.290Z"""
"=""Dallin Purdy""";"=""dallin.purdy""";"=""purdy.dallin@gmail.com""";"=""PurDa98""";"=""true""";"=""43782054598""";"=""17732866711""";"=""Dallin Purdy LTDA""";"=""87065453000184""";"=""1248 Wilkinson Drives Suite 890""";"=""Lake Mason""";"=""Delaware""";"=""55628617""";"=""Italy""";"=""2613586231157333""";"=""07/27""";"=""Smartphone Moderno""";"=""2935.80""";"=""Um excelente smartphone moderno da categoria Fotografia, ideal para suas necessidades.""";"=""83""";"=""Fotografia""";"=""Descricao para a categoria Fotografia""";"=""Ipsa eaque tempora delectus autem officiis sint.""";"=""Conteudo do artigo nao disponivel.""";"=""Rey White""";"=""2025-07-27T22:42:23.444Z"""
"=""Bradley Baumbach""";"=""bradley.baumbach""";"=""baumbach.bradley@gmail.com""";"=""BauBr79""";"=""true""";"=""70155421379""";"=""19415721867""";"=""Bradley Baumbach LTDA""";"=""33173221000110""";"=""861 Kattie Skyway Suite 195""";"=""Nienowport""";"=""Missouri""";"=""13471440""";"=""Malaysia""";"=""6011928898354846""";"=""11/25""";"=""Cadeira Gamer Sem Fio""";"=""4519.11""";"=""Um excelente cadeira gamer sem fio da categoria Fotografia, ideal para suas necessidades.""";"=""87""";"=""Fotografia""";"=""Descricao para a categoria Fotografia""";"=""Quibusdam consequatur quasi labore fuga.""";"=""Conteudo do artigo nao disponivel.""";"=""Milford Crist""";"=""2025-07-27T22:42:24.423Z"""
"=""Jeff Reichert""";"=""jeff.reichert""";"=""reichert.jeff@gmail.com""";"=""ReiJe36""";"=""true""";"=""36827529436""";"=""17207225706""";"=""Jeff Reichert LTDA""";"=""33219244000119""";"=""31886 Rasheed Mountain""";"=""Maggiostad""";"=""Missouri""";"=""31018079""";"=""Niue""";"=""4556089117813""";"=""02/26""";"=""Mouse Gamer RGB""";"=""443.44""";"=""Um excelente mouse gamer rgb da categoria Games, ideal para suas necessidades.""";"=""25""";"=""Games""";"=""Descricao para a categoria Games""";"=""Sunt hic eaque laborum.""";"=""Conteudo do artigo nao disponivel.""";"=""Dejuan Yundt""";"=""2025-07-27T22:42:25.455Z"""
"=""Amely Windler""";"=""amely.windler""";"=""windler.amely@gmail.com""";"=""WinAm58""";"=""true""";"=""88063436458""";"=""15085173961""";"=""Amely Windler LTDA""";"=""46656772000187""";"=""362 Schmitt Village""";"=""Lake Karley""";"=""Louisiana""";"=""68436144""";"=""Guernsey""";"=""3589449764682615""";"=""11/26""";"=""Smartphone Profissional""";"=""237.86""";"=""Um excelente smartphone profissional da categoria Informatica, ideal para suas necessidades.""";"=""57""";"=""Informatica""";"=""Descricao para a categoria Informatica""";"=""Animi doloribus autem ullam atque nesciunt quaerat molestiae qui.""";"=""Conteudo do artigo nao disponivel.""";"=""Blanca Stroman""";"=""2025-07-27T22:42:26.443Z"""
"=""Tomasa Smitham""";"=""tomasa.smitham""";"=""smitham.tomasa@gmail.com""";"=""SmiTo93""";"=""true""";"=""01912856093""";"=""16028242352""";"=""Tomasa Smitham LTDA""";"=""07839983000101""";"=""3567 Lynn Plains Suite 437""";"=""Jonestown""";"=""South Carolina""";"=""80508512""";"=""Turkey""";"=""4916745398662""";"=""02/27""";"=""Cadeira Gamer Profissional""";"=""3330.43""";"=""Um excelente cadeira gamer profissional da categoria Informatica, ideal para suas necessidades.""";"=""42""";"=""Informatica""";"=""Descricao para a categoria Informatica""";"=""Quis laboriosam consectetur odit omnis aut omnis.""";"=""Conteudo do artigo nao disponivel.""";"=""Lafayette Luettgen""";"=""2025-07-27T22:42:27.419Z"""
"=""Carolanne Mohr""";"=""carolanne.mohr""";"=""mohr.carolanne@gmail.com""";"=""MohCa95""";"=""true""";"=""66179537895""";"=""14173179218""";"=""Carolanne Mohr LTDA""";"=""43311416000133""";"=""8754 Alexandria Stream""";"=""Simonisstad""";"=""Ohio""";"=""04586670""";"=""Guernsey""";"=""2547718919178502""";"=""06/26""";"=""Tablet Profissional""";"=""2178.97""";"=""Um excelente tablet profissional da categoria Acessorios, ideal para suas necessidades.""";"=""82""";"=""Acessorios""";"=""Descricao para a categoria Acessorios""";"=""Consequatur esse sint et voluptates ab aut ut omnis.""";"=""Conteudo do artigo nao disponivel.""";"=""Josiane Lynch""";"=""2025-07-27T22:42:28.381Z"""
"=""Maeve Fritsch""";"=""maeve.fritsch""";"=""fritsch.maeve@gmail.com""";"=""FriMa21""";"=""true""";"=""88029410921""";"=""16232928592""";"=""Maeve Fritsch LTDA""";"=""31421798000179""";"=""8061 Korbin Mount Apt. 430""";"=""Port Jean""";"=""South Dakota""";"=""80089250""";"=""Austria""";"=""4539379074402991""";"=""10/27""";"=""Cadeira Gamer Potente""";"=""2634.86""";"=""Um excelente cadeira gamer potente da categoria Fotografia, ideal para suas necessidades.""";"=""61""";"=""Fotografia""";"=""Descricao para a categoria Fotografia""";"=""Sint sint quis et.""";"=""Conteudo do artigo nao disponivel.""";"=""Angus Boyer""";"=""2025-07-27T22:42:29.345Z"""
"=""Roy Kreiger""";"=""roy.kreiger""";"=""kreiger.roy@gmail.com""";"=""KreRo99""";"=""true""";"=""08958100699""";"=""15159006218""";"=""Roy Kreiger LTDA""";"=""12481519000118""";"=""324 Carter Avenue Apt. 151""";"=""Karsonfurt""";"=""Michigan""";"=""88102804""";"=""Martinique""";"=""4485951538367111""";"=""08/26""";"=""Smartwatch Potente""";"=""1302.84""";"=""Um excelente smartwatch potente da categoria Informatica, ideal para suas necessidades.""";"=""29""";"=""Informatica""";"=""Descricao para a categoria Informatica""";"=""Et sequi tempore quo amet ut sed culpa.""";"=""Conteudo do artigo nao disponivel.""";"=""Glen Larson""";"=""2025-07-27T22:42:30.322Z"""
"=""Vincenza Wilderman""";"=""vincenza.wilderman""";"=""wilderman.vincenza@gmail.com""";"=""WilVi75""";"=""true""";"=""82246578175""";"=""16126024463""";"=""Vincenza Wilderman LTDA""";"=""98550797000103""";"=""65233 Kulas Springs""";"=""Port Kirstin""";"=""New Jersey""";"=""97137763""";"=""Saint Helena""";"=""5357022751898505""";"=""04/26""";"=""Mouse Gamer Profissional""";"=""972.95""";"=""Um excelente mouse gamer profissional da categoria Informatica, ideal para suas necessidades.""";"=""49""";"=""Informatica""";"=""Descricao para a categoria Informatica""";"=""Aliquid eum alias molestiae eum esse.""";"=""Conteudo do artigo nao disponivel.""";"=""Luna Labadie""";"=""2025-07-27T22:42:31.287Z"""
"=""Mitchell Miller""";"=""mitchell.miller""";"=""miller.mitchell@gmail.com""";"=""MilMi46""";"=""true""";"=""90978883446""";"=""16239407022""";"=""Mitchell Miller LTDA""";"=""13512511000134""";"=""55201 Mosciski Crescent Suite 059""";"=""Wardton""";"=""New Hampshire""";"=""14229004""";"=""Hungary""";"=""2394383283100261""";"=""06/28""";"=""Notebook RGB""";"=""3496.65""";"=""Um excelente notebook rgb da categoria Fotografia, ideal para suas necessidades.""";"=""20""";"=""Fotografia""";"=""Descricao para a categoria Fotografia""";"=""Veniam voluptatem provident sapiente est et blanditiis totam.""";"=""Conteudo do artigo nao disponivel.""";"=""Granville Hoppe""";"=""2025-07-27T22:42:32.232Z"""
